status,mode,batch_size,n,avg_ms,logical_gbps,total_count,csv,returncode,elapsed_s,error
PASS,library_cub_device_select,8,1024,0.00370624,15.4949,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n1024_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v2,8,1024,0.00851616,6.74341,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n1024_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v3,8,1024,0.00851104,6.74747,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n1024_t0_p0.5_v4_flow_latest.csv,0,0.188,
PASS,v4,8,1024,0.00862592,6.65761,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n1024_t0_p0.5_v4_flow_latest.csv,0,0.192,
PASS,library_cub_device_select,8,8192,0.0228256,20.1619,33124,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n8192_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,v2,8,8192,0.00854192,53.8764,33124,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n8192_t0_p0.5_v4_flow_latest.csv,0,0.188,
PASS,v3,8,8192,0.00852096,54.0089,33124,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n8192_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,8,8192,0.00856592,53.7255,33124,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n8192_t0_p0.5_v4_flow_latest.csv,0,0.183,
PASS,library_cub_device_select,8,131072,0.0228259,322.36,528812,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n131072_t0_p0.5_v4_flow_latest.csv,0,0.196,
PASS,v2,8,131072,0.0289992,253.737,528812,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n131072_t0_p0.5_v4_flow_latest.csv,0,0.201,
PASS,v3,8,131072,0.0187738,391.939,528812,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n131072_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,8,131072,0.0187723,391.969,528812,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n131072_t0_p0.5_v4_flow_latest.csv,0,0.200,
